Country,Period,MFCI,MFCI_raw,MFCI_smooth
AUT,1999-01,2.095372455061737,4.084319345034771,2.3882218153253847
AUT,1999-02,1.5033300955599478,0.6921242856159979,1.7127399930431944
AUT,1999-06,0.2782517960453621,0.3617763484788137,0.31500533957879273
AUT,1999-11,-0.02088735035636589,-0.10888461535843343,-0.026292968700055448
AUT,1999-12,-0.023066260861504415,-0.3317706392205466,-0.028778963857292728
AUT,2000-01,0.012298076392942581,0.35431836300710184,0.011569444646007341
AUT,2000-02,0.2551604824755015,0.012160610151466779,0.28865965279012334
AUT,2000-05,1.0575397851603396,0.4994999852118014,1.204122245695066
AUT,2000-06,1.1439578645856936,3.10070614172193,1.3027196531803809
AUT,2000-10,1.0482555869859986,0.3079528326074116,1.1935295794768745
AUT,2000-11,0.24458075476860555,0.17192976410128194,0.27658887164413026
AUT,2000-12,0.9891174420726879,0.34988401822369725,1.1260568028227733
AUT,2001-01,1.0799962577456745,2.8563566261433406,1.2297436202141745
AUT,2001-02,1.0928234763106615,0.48299021627548494,1.244378642239255
AUT,2001-03,1.1887443976370893,0.3937890842989398,1.3538181742130924
AUT,2001-04,1.0372912466834303,3.184675222064852,1.1810199803766797
AUT,2001-05,0.9754428505364988,-0.03540436523375289,1.1104549833556618
AUT,2001-06,-0.02840497074636162,0.18209409323588657,-0.034870084574894676
AUT,2001-07,0.2529116309775413,-0.25129998172681767,0.2860938595094492
AUT,2001-09,0.41462109872358566,0.9274874670192788,0.4705938436749421
AUT,2001-10,1.516157862828931,0.7355940457323652,1.7273756411038435
AUT,2001-11,1.4928945555090973,3.5190454105598863,1.700833720633938
AUT,2001-12,1.2921915954063206,0.8478617056095621,1.471844698054982
AUT,2002-01,0.4185911505279033,0.04862697799549751,0.47512341454820173
AUT,2002-02,0.21092114004473528,0.5288815600395456,0.23818544066306102
AUT,2002-03,0.2457105255817782,0.13704778395414,0.2778778666550367
AUT,2002-04,0.09590457331473141,0.1677042559714247,0.1069590193765797
AUT,2002-05,0.03709344681032466,0.016125018204174398,0.0398593494558414
AUT,2002-06,1.1776793718249912,-0.06425122580807488,1.3411936994957
AUT,2002-07,2.3749963485417664,4.0717073060910005,2.7072544894071466
AUT,2002-08,2.4557586385973567,4.114307387938514,2.7993990091072916
AUT,2002-11,1.410885609587721,0.21218233329235853,1.6072668476807441
AUT,2002-12,0.25914081906944336,0.4953108218113594,0.29320095793936113
AUT,2003-01,0.21854901329259424,0.17210971871436553,0.24688834787722932
AUT,2003-02,0.07133628823300148,0.07324450310596302,0.0789282041637619
AUT,2003-03,1.0631950909819867,-0.008569609329042866,1.2105745817832876
AUT,2003-04,1.131993086176801,3.5670488515729426,1.2890686192752352
AUT,2003-07,1.0356213244461474,0.3087266155818058,1.1791147077254818
AUT,2003-08,0.9980882434772516,-0.3384313439783035,1.1362919037118135
AUT,2003-10,1.9131249520958646,3.438580439531938,2.1802892688884024
AUT,2003-11,1.9961476574783426,3.4407187111115727,2.2750127754458487
AUT,2003-12,0.984374412644838,-0.054260824305963865,1.1206453147600641
AUT,2004-01,-0.18317556858163864,-0.024521942525416635,-0.21145326951702056
AUT,2004-02,-0.24613181833525888,-0.5555770417196811,-0.28328225544197044
AUT,2004-03,-0.4706437157072162,-0.2697477820808136,-0.5394357267720631
AUT,2004-06,-0.34344157541865883,-0.7929823565156946,-0.39430635867648517
AUT,2004-07,-0.3190259062972512,-0.12018893743294722,-0.3664496683473574
AUT,2004-08,-0.3036864392964013,-0.1861777110934304,-0.3489483342683382
AUT,2004-11,-0.5082267972988198,-0.740478354278637,-0.5823155782439069
AUT,2004-12,-0.6637790389994689,-0.8202906693596534,-0.7597905679937184
AUT,2005-01,-0.7067408854465476,-0.7186026803428645,-0.8088072402992288
AUT,2005-02,-0.7406276572606402,-0.8875283711951685,-0.8474698427446116
AUT,2005-03,-0.5893319462680828,-0.9362784766958018,-0.6748512776629968
AUT,2005-05,-0.6936165635406106,-0.20074698509802,-0.7938332426874691
AUT,2005-06,-0.546753366738783,-1.244474266268586,-0.6262718879807427
AUT,2005-07,-0.7639062725581427,-0.43359441257562237,-0.8740292286213168
AUT,2005-10,0.2624177921353085,-0.9440190070197424,0.29693977105395475
AUT,2005-11,0.23921052968916112,2.268432732757229,0.2704617941394375
AUT,2005-12,1.2666674146624333,-0.5130283433191741,1.4427232680687059
AUT,2006-01,0.4460910276505572,2.5727654147680625,0.5064989855917639
AUT,2006-02,0.33650977942672644,-0.5402401146735966,0.38147390917581436
AUT,2006-03,0.26810155288767984,-0.8881035725670229,0.303424572367257
AUT,2006-04,0.11627946585261666,2.3386174043423904,0.1302054464597299
AUT,2006-05,0.15889792724039406,-1.059897492396178,0.17883033874835685
AUT,2006-06,-0.8081960266142861,-0.7422288957011419,-0.9245609571338665
AUT,2006-07,0.21941714131637463,-0.97155648330428,0.2478788254842216
AUT,2006-09,1.016420278521658,2.4574218554580867,1.157207563274344
AUT,2006-10,1.9620777199098698,1.985757317669225,2.2361411927888937
AUT,2006-11,0.8670842550685539,2.265244405239369,0.9868248742056677
AUT,2006-12,-0.23036468898667317,-1.2905271002915908,-0.2652929864418534
AUT,2007-03,-1.3513729626389428,-1.7705962642733384,-1.5442905097225494
AUT,2007-04,-1.391293654535669,-1.5717481646027185,-1.5898374225006464
AUT,2007-05,-1.1622354938035053,-1.4271678386258821,-1.3284969603922059
AUT,2007-06,0.02618102147765466,-0.9865748779480163,0.027408981959446077
AUT,2007-09,0.9745874544926229,2.495969662452237,1.1094790321095778
