Period,Global_Factor_1,Global_Factor_2,Global_Factor_3,Global_Factor_4,Global_Factor_5
1999-01,-0.12887792411669446,-4.971288584918528,0.3710406770251611,0.2731648872362386,1.714295003046004
1999-02,-0.4915635003342622,-4.978433855985506,0.44480597673475203,0.14783211629060172,1.722699081722455
1999-03,-0.7612086972217857,-4.798692533054689,0.7032994975733995,0.15351852576755476,1.595279795526608
1999-04,-0.9273072954451729,-4.974851206056199,0.6102032661869676,0.0847553243827755,1.231784304023071
1999-05,-0.5970917686079609,-4.924550377451333,0.7140174452641567,0.14602298992634355,0.8760646960310094
1999-06,-0.5957729527122346,-4.285195205662504,0.5955940944694258,-0.10138777060784832,1.0238833386141142
1999-07,-0.6948874758061048,-3.847243146249467,0.7991894587614099,-0.23451487690285538,1.2463757419417716
1999-08,-0.8346195228872886,-3.788325293080164,0.3437976274378793,0.1729606318573428,2.267978632352148
1999-09,-1.0139487570674348,-3.7241647453752287,1.0883383170412166,0.21068943539995955,1.7352928505886756
1999-10,-1.1904051037145489,-4.15167163680822,1.0689851808275044,0.5361189112511906,1.713673672508327
1999-11,-0.6943830373928079,-4.00327876628554,1.2791197785337307,0.6435619908529513,1.6230676340637982
1999-12,-0.5676779765902679,-4.223417739848536,1.1032088372736655,0.6297445557409429,1.5342278806133076
2000-01,-0.9305027380304884,-3.936880917879196,1.0969687454916386,0.3963572541802807,1.4193792773487888
2000-02,-1.8282456684640476,-3.8059315419804625,1.3029017743462947,-0.038377515336770356,0.8717991571470707
2000-03,-2.298802279824804,-3.7994909050704435,1.2947735274594818,-0.1517389273768791,0.9435651423665016
2000-04,-2.7013860213776084,-4.497012805594241,0.7289980658121628,0.3357401446959834,0.35685231598285116
2000-05,-2.2808940618555464,-5.029391429177596,0.11283385756909994,0.684516330972573,0.9939876645135232
2000-06,-2.098706613691519,-4.637634457086613,0.3410181827144484,0.9676601432597931,1.2478693949754207
2000-07,-1.8711207379470967,-4.713456982863247,0.12893101968720933,1.4493297649191785,0.8667728806050009
2000-08,-2.22622980205869,-4.2791702234090625,0.707624697468808,1.14992832640635,0.3227861009996167
2000-09,-2.1106702540670153,-4.527019902066009,0.1863434591233938,0.9530492184226956,0.1307576312425242
2000-10,-1.8652455739060583,-4.533125740970179,0.014591999231998764,0.7429360425243524,-0.1954308298941308
2000-11,-1.279666181113089,-4.641295408851026,-0.2608064669712064,0.6278572817686499,-0.6850703633798759
2000-12,-1.122260319149987,-4.551538022126126,0.13736564797507797,0.4414228918120991,-0.6657959000225708
2001-01,-0.8711027926523323,-4.345008170829761,0.35665140115028615,0.4284819034490041,-0.6253369440337643
2001-02,-1.4755290499027327,-3.910383681334996,0.5173233456666761,-0.22387310900864443,-0.2827075919861317
2001-03,-1.2971701530364745,-3.977238803688191,0.27999677276495877,-0.03255917964788356,-0.603343590998136
2001-04,-0.9089339796556405,-3.9334125540798603,0.354294206938253,-0.29134921160132876,-1.0834098874653246
2001-05,-0.5395273270501507,-3.521858864917087,0.6043818258127107,-0.08937201062635611,-1.3637407759581817
2001-06,-0.5361683318418848,-3.04641951174298,0.6941287106539101,-0.38187195372834803,-0.8895317443582299
2001-07,-0.2656736428786172,-2.887716578057243,0.5167120978921269,-0.5395086530606625,-0.47962154019786835
2001-08,0.39033657447654907,-3.1237595670358846,0.09807929227076609,-0.4294359969276852,-0.41813329183511566
2001-09,0.8618558356765288,-3.2792359363034795,0.0395543347982021,-0.3497734116438923,-1.077517189847365
2001-10,1.4943671667912464,-3.8286089410436714,0.13765327961403398,-0.20332283163336437,-1.1887923704221208
2001-11,1.9428079049300924,-3.898175164576151,0.018009694915961053,-0.014215392360473957,-1.0268323144535463
2001-12,2.549866193783046,-3.607316136648859,0.43473830085538423,-0.2952059014751617,-0.7409236352665046
2002-01,2.079208052237348,-2.9548357463982944,0.9441764706619972,-0.28956068739386365,-0.5391675280617649
2002-02,1.1367970127134441,-2.5739429178630817,1.4467780995003328,-0.609569664806511,-0.7378547704535431
2002-03,0.11551959266821629,-2.66016710344714,1.409636770306827,-0.40340028223010144,-0.7917234078478087
2002-04,-0.1710216549901035,-2.9604825444154446,1.0536533528001235,-0.5522502373340933,-0.8486850875596872
2002-05,0.4526022454289047,-3.1328432139629885,0.44884560175770916,-0.722066414478808,-0.8284135226640336
2002-06,1.4139998170923516,-3.352883073864807,-0.06538295255192315,-0.6723949256041605,-0.4869912368091353
2002-07,2.248001883137449,-3.3958500962889198,0.31149060657123456,-0.4072724156609067,-0.41123358867565524
2002-08,2.2278920728044795,-3.5405861609301943,0.49965159037386936,0.012330394525082448,-0.6509235625623363
2002-09,1.9303149809366418,-3.549369000754266,0.8220914537422391,0.33383628239749635,-1.026921564787176
2002-10,1.8080754576405607,-3.5960407669080126,0.7369477667051542,0.3835026358717483,-1.0047924735366016
