Country,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
AUT,0.20395045444719398,-0.21468240087388446,0.02707078461761786,0.14437029120336262,0.1572574228225068
BEL,0.23416513999143473,-0.14040067312482496,-0.17118280625651258,0.019556152360249605,0.09156439876537989
CAN,-0.2397552242442439,0.12718248373675511,0.08458451797460427,0.3874433531008935,0.018838100891880264
CHL,0.23457979403338405,-0.016780972718183403,-0.2842638405914184,-0.006282439428659822,-0.027199594215455054
COL,-0.1894009564143439,0.03416958756510183,-0.026673519753563992,-0.08790993399787228,-0.31447669064864847
CZE,0.19850990300556048,0.20441819871727893,0.20288839828973576,-0.1546494520639047,0.24265573599781914
DEU,-0.1552686165446416,0.294000311087712,-0.08189851999885595,0.23356194049169796,-0.11533367789624556
DNK,0.22006423786914878,-0.08456815299725255,0.07511241888706609,0.025955004487577718,-0.27469900625051413
ESP,-0.20471720302627688,-0.24564825184524872,0.1125867937654622,-0.05388179229643269,-0.06360769982505317
FIN,-0.22652649228448818,0.04198896927538087,-0.07812341349303814,0.0559239489903099,0.13346889619636035
FRA,-0.19648280580582142,0.2440176694538448,0.047848586682534895,0.3542043418746533,-0.11105366597718436
GBR,0.1976108898572348,0.2732824071305083,0.04637772796889657,0.08804798015074836,-0.12305870726509423
GRC,0.12579840935721243,0.298717028971104,0.1582487039815768,-0.1845551103695311,-0.047724736171703454
HUN,-0.10753595515948942,-0.23783072284281012,0.25504896028270363,0.3130268197550052,-0.16930733835286063
IRL,-0.22655000050920915,-0.14603738987807896,-0.15315875936101706,-0.21254656943150804,-0.3136523329594915
ISR,0.12250109864557714,0.31734124987255363,-0.02666750992636624,-0.10692396153538676,-0.09528936229711746
ITA,0.04118216284097022,-0.25059526596954507,0.37343839218871927,0.0925360021630017,0.10112788653198837
JPN,0.06931386688814156,-0.2371672599601466,0.2176029318966816,0.30348131147827023,0.028067875019327723
KOR,0.2162926135211225,-0.11598477738835988,-0.28764772292830093,0.22958087690034795,-0.17286153125512166
LUX,0.09814985703676371,-0.060500788146455896,-0.34007089095187637,0.20562393805821588,0.5290804962530941
MEX,-0.24194391285697225,0.14428492416612318,-0.04590500961333355,0.21286331956353466,0.19755813186434423
NLD,0.25313664541827574,0.013641898479258879,0.41559832778015543,-0.0700535477785665,0.06420555233929055
NOR,0.22053672196945026,-0.004684469510701776,0.0032917447785449773,0.3307221075614301,-0.18429126519465547
POL,0.2568238515475238,-0.1111746720088043,0.025829346884411252,0.07271286953244045,-0.2448676859444164
PRT,-0.08161817789270742,-0.25376133662236466,-0.11559692865961123,-0.10631669818799408,-0.15930856591966072
SWE,-0.20510169180440632,-0.039613937428490224,0.31042935008254374,-0.14927639452839803,0.1867012543317667
USA,-0.17260096646297168,-0.2855326510094709,-0.14094307663730216,-0.14047348170969864,0.11568196992122844
